# traceability.txt  —  bsv-universal-sdk
# Authoritative requirement index (REQ-TRACE-001). Generated as a SKELETON.
#
# Format:  REQ-ID | spec-section | status | code-path(s) | test-id(s) | notes
# status in {OPEN, IN-PROGRESS, IMPLEMENTED, VERIFIED, DEPENDS-ON-SOURCE, DEPENDS-ON-VERIFICATION, DEPENDS-ON-DECISION, BLOCKED}
#
# HONESTY CONVENTION (read before trusting any row):
#  - Nothing is built yet. Every row is OPEN or a DEPENDS-*/BLOCKED dependency. There are zero
#    IMPLEMENTED/VERIFIED rows by construction.
#  - code-path(s) and test-id(s) are TARGETS (intended locations / governing test obligations),
#    NOT claims that code or tests exist. A row may move to IMPLEMENTED only when its code paths
#    exist; to VERIFIED only when its tests exist and pass in `pnpm ci` AND any DEPENDS-* is discharged
#    (REQ-TRACE-002).
#  - test-id(s) reference real REQ-TEST-* obligations defined in the spec, not invented filenames.
#  - The source documents have been READ this session (they were ZIP archives with extracted text,
#    not image-only PDFs). Residual DEPENDS-ON-SOURCE = absent codebases (bsv-poker / D6 binding) and
#    the absent Savanah-Wright [2019] threshold-ECDSA paper. DEPENDS-ON-VERIFICATION = live
#    BSV/Teranode nSequence enforcement (REQ-TIME-004). DEPENDS-ON-DECISION = per-module design
#    choice (REQ-FAIR-002 in-script-EC, REQ-FAIR-003 TEE). BLOCKED = premise disproven
#    (REQ-SQL-001: the on-chain-SQL substrate does not exist; superseded by REQ-JRNL-002..005).
#  - `pnpm trace` must regenerate/verify this file; counts here MUST match spec §18.
#
# STATUS TALLY (this file): total=164
#   OPEN                     157
#   IN-PROGRESS              0
#   IMPLEMENTED              0
#   VERIFIED                 0
#   DEPENDS-ON-SOURCE        3
#   DEPENDS-ON-VERIFICATION  1
#   DEPENDS-ON-DECISION      2
#   BLOCKED                  1
#   ----  core REQs = 121  |  module REQs = 43  ----
#   (+10 REQ-SEC-* added by SECURITY-HARDENING.md — ESTATES-audit hardening; SECTION §20.
#    Each REQ-SEC conforms to ESTATES' VERIFIED CI-green fix (file:symbol confirmed present),
#    not just the audit prose — see SECURITY-HARDENING.md §1A reference table.)

REQ-ID            | SECTION                                      | STATUS                  | CODE-PATH(S) [target]                                                   | TEST-ID(S) [target]                            | NOTES
REQ-BAN-006       | §2                                           | OPEN                    | packages/engine/**, packages/sdk/src/deriveState.ts                     | REQ-TEST-001, REQ-TEST-004                     | Single source of truth; internal numeric inconsistency = material defect.
REQ-BAN-007       | §2                                           | OPEN                    | packages/modules/*/assumptions.ts, docs/spec                            | REQ-TEST-001, REQ-TEST-004                     | No hidden assumptions; each module declares assumptions[]. DEPENDS-* items tracked as open assumptions until discharged.
REQ-BAN-008       | §2                                           | OPEN                    | packages/sdk/**, apps/relay-go/**, apps/indexer-go/**, apps/spv-service-go/**, apps/node-binding/** | REQ-TEST-004, REQ-TEST-008                     | Non-custodial; user in total control (THIS IS A WALLET). User is sole key custodian + sole authority to move own value; wallet/SDK/engine/relay/indexer/SPV/node/operator/TEE-host hold no user keys, sign nothing, choose nothing for the user. Clauses a-g: sole custody / sole signing over own value / software chooses nothing / non-custodial infra / consented defaults only / user-reachable exit / no reconstruction into non-user bearer key. Automatic reject. Enforced REQ-BUILD-002 + no-spend-without-user test battery.
REQ-BAN-009       | §2                                           | OPEN                    | packages/sdk/**, packages/engine/**, packages/ui-core/**, apps/client-web/**, packages/test-actors/** | REQ-TEST-012, REQ-TEST-013                     | User chooses every action; no software-selected gameplay, no implicit defaults. Clauses a-f: no engine-selected move / no default unless explicitly specified+user-pre-signed / menu-driven / bots test-only never default / funding+defunding user-controlled / real testing needs a real person. Failure to allow selection = failure. Automatic reject. Enforced REQ-BUILD-002 + build-separation + human-in-loop gate.
REQ-ARCH-001      | §3                                           | OPEN                    | packages/sdk/src/deriveState.ts, packages/engine/**                     | REQ-TEST-003, REQ-TEST-011                     | -
REQ-ARCH-002      | §3                                           | OPEN                    | packages/sdk/src/deriveState.ts, packages/engine/**                     | REQ-TEST-003, REQ-TEST-011                     | -
REQ-ARCH-003      | §3                                           | OPEN                    | packages/sdk/src/deriveState.ts, packages/engine/**                     | REQ-TEST-003, REQ-TEST-011                     | -
REQ-ARCH-004      | §3                                           | OPEN                    | packages/sdk/src/deriveState.ts, packages/engine/**                     | REQ-TEST-003, REQ-TEST-011                     | -
REQ-ARCH-005      | §3                                           | OPEN                    | packages/sdk/src/deriveState.ts, packages/engine/**                     | REQ-TEST-003, REQ-TEST-011                     | -
REQ-DET-001       | §4                                           | OPEN                    | packages/engine/**, packages/protocol-types/**                          | REQ-TEST-003, REQ-TEST-008                     | -
REQ-DET-002       | §4                                           | OPEN                    | packages/engine/**, packages/protocol-types/**                          | REQ-TEST-003, REQ-TEST-008                     | -
REQ-DET-003       | §4                                           | OPEN                    | packages/engine/**, packages/protocol-types/**                          | REQ-TEST-003, REQ-TEST-008                     | -
REQ-DET-004       | §4                                           | OPEN                    | packages/engine/**, packages/protocol-types/**                          | REQ-TEST-003, REQ-TEST-008                     | -
REQ-DET-005       | §4                                           | OPEN                    | packages/engine/**, packages/protocol-types/**                          | REQ-TEST-003, REQ-TEST-008                     | -
REQ-DET-006       | §4                                           | OPEN                    | packages/engine/**, packages/protocol-types/**                          | REQ-TEST-003, REQ-TEST-008                     | -
REQ-DET-007       | §4                                           | OPEN                    | packages/engine/**, packages/protocol-types/**                          | REQ-TEST-003, REQ-TEST-008                     | -
REQ-DET-008       | §4                                           | OPEN                    | packages/engine/**, packages/protocol-types/**                          | REQ-TEST-003, REQ-TEST-008                     | -
REQ-TIME-001      | §5                                           | OPEN                    | packages/script-templates-ts/**, packages/sdk/src/buildTx.ts            | REQ-TEST-002, REQ-TEST-009                     | Absolute deadlines via nLockTime (threshold 500000000 rule).
REQ-TIME-002      | §5                                           | OPEN                    | packages/script-templates-ts/**, packages/sdk/src/buildTx.ts            | REQ-TEST-002, REQ-TEST-009                     | -
REQ-TIME-003      | §5                                           | OPEN                    | packages/script-templates-ts/**, packages/sdk/src/buildTx.ts            | REQ-TEST-002, REQ-TEST-009                     | -
REQ-TIME-005      | §5                                           | OPEN                    | packages/script-templates-ts/**, packages/sdk/src/buildTx.ts            | REQ-TEST-002, REQ-TEST-009                     | -
REQ-TIME-006      | §5                                           | OPEN                    | packages/script-templates-ts/**, packages/sdk/src/buildTx.ts            | REQ-TEST-002, REQ-TEST-009                     | -
REQ-COMMIT-001    | §6                                           | OPEN                    | packages/crypto/**, packages/script-templates-ts/**                     | REQ-TEST-002, REQ-TEST-005                     | Pay-to-contract (P2C) key tweak P' = P + H(tag//m)*G into ordinary spendable output. OP_RETURN-free commitment primitive.
REQ-COMMIT-002    | §6                                           | OPEN                    | packages/crypto/**, packages/script-templates-ts/**                     | REQ-TEST-002, REQ-TEST-005                     | -
REQ-COMMIT-003    | §6                                           | OPEN                    | packages/crypto/**, packages/script-templates-ts/**                     | REQ-TEST-002, REQ-TEST-005                     | -
REQ-COMMIT-004    | §6                                           | OPEN                    | packages/crypto/**, packages/script-templates-ts/**                     | REQ-TEST-002, REQ-TEST-005                     | Grounded: salted domain-separated Merkle field tree per shuffle A8 / SPF-leaf / fair-play C_ij; leaves length-prefixed; salt mandatory. SOURCE-CONFORMANCE.md §5.
REQ-COMMIT-005    | §6                                           | OPEN                    | packages/crypto/**, packages/script-templates-ts/**                     | REQ-TEST-002, REQ-TEST-005                     | Conformed to Burns-Wright set-shuffle: combined key Q=ΣP, canonical scalar derivation (y^2=x^3+7, s=x mod n, reject x>=n/s=0), Protocol A additive shuffle + Protocol B in-script PRNG. Protocol B OP_RETURN replaced by locking-script constants.
REQ-FAIR-001      | §6                                           | OPEN                    | packages/sdk/src/gates/**, packages/modules/**                          | REQ-TEST-004                                   | Each value-bearing module declares its L0-L5 fairness level; concealed/private-hand modules target L5 or justified L4+external-sanction. Grounded in strict_provable_fairness. SOURCE-CONFORMANCE.md §6.
REQ-FAIR-002      | §6                                           | DEPENDS-ON-DECISION     | packages/crypto/**, packages/script-templates-ts/**                     | REQ-TEST-002, REQ-TEST-005                     | L5 in-script EC scalar multiplication (ECPS w*P=Q; s*G=P): choose in-script EC group law / Runar-compile / STARK-verify-in-Script. BSV Script has no single EC-mult opcode. Absent a choice the module is L4 only. SOURCE-CONFORMANCE.md §7.
REQ-FAIR-003      | §6                                           | DEPENDS-ON-DECISION     | packages/modules/**, apps/client-web/**                                 | REQ-TEST-004                                   | TEE scope decision: poker confidentiality depends on device TEEs (key-share custody + AEAD reveal check). TEE permitted, not assumed; if out of scope, restrict to open-info play. Note Secure-Enclave P-256 vs secp256k1 gap + UI-layer bound. SOURCE-CONFORMANCE.md §8.
REQ-TPL-001       | §7                                           | OPEN                    | packages/script-templates-ts/**                                         | REQ-TEST-001, REQ-TEST-002                     | -
REQ-TPL-002       | §7                                           | OPEN                    | packages/script-templates-ts/**                                         | REQ-TEST-001, REQ-TEST-002                     | -
REQ-TPL-003       | §7                                           | OPEN                    | packages/script-templates-ts/**                                         | REQ-TEST-001, REQ-TEST-002                     | -
REQ-TPL-004       | §7                                           | OPEN                    | packages/script-templates-ts/**                                         | REQ-TEST-001, REQ-TEST-002                     | -
REQ-TPL-005       | §7                                           | OPEN                    | packages/script-templates-ts/**                                         | REQ-TEST-001, REQ-TEST-002                     | -
REQ-TPL-006       | §7                                           | OPEN                    | packages/script-templates-ts/**                                         | REQ-TEST-001, REQ-TEST-002                     | -
REQ-TPL-007       | §7                                           | OPEN                    | packages/script-templates-ts/**                                         | REQ-TEST-001, REQ-TEST-002                     | -
REQ-TPL-008       | §7                                           | OPEN                    | packages/script-templates-ts/**                                         | REQ-TEST-001, REQ-TEST-002                     | journalEntryLocking (renamed from sqlJournalLocking): append-only journal entry committed via Merkle-field-tree root in locking-script data-push; no SQL; no OP_RETURN. SQL premise withdrawn (§11).
REQ-TPL-009       | §7                                           | OPEN                    | packages/script-templates-ts/**                                         | REQ-TEST-001, REQ-TEST-002                     | Conformed: lock to Q=ΣP; settlement via additive-reconstruction+containment / conjunctive multisig / threshold-ECDSA; ledger sees OP_CHECKSIG. Threshold-ECDSA mode depends on Savanah-Wright [2019] (NOT in project files; transitive DEPENDS-ON-SOURCE).
REQ-TPL-010       | §7                                           | OPEN                    | packages/script-templates-ts/**                                         | REQ-TEST-001, REQ-TEST-002                     | -
REQ-ENG-001       | §8                                           | OPEN                    | packages/engine/**                                                      | REQ-TEST-001, REQ-TEST-002, REQ-TEST-003       | -
REQ-ENG-002       | §8                                           | OPEN                    | packages/engine/**                                                      | REQ-TEST-001, REQ-TEST-002, REQ-TEST-003       | -
REQ-ENG-003       | §8                                           | OPEN                    | packages/engine/**                                                      | REQ-TEST-001, REQ-TEST-002, REQ-TEST-003       | -
REQ-ENG-004       | §8                                           | OPEN                    | packages/engine/**                                                      | REQ-TEST-001, REQ-TEST-002, REQ-TEST-003       | -
REQ-ENG-005       | §8                                           | OPEN                    | packages/engine/**                                                      | REQ-TEST-001, REQ-TEST-002, REQ-TEST-003       | -
REQ-ENG-006       | §8                                           | OPEN                    | packages/engine/**                                                      | REQ-TEST-001, REQ-TEST-002, REQ-TEST-003       | -
REQ-ENG-007       | §8                                           | OPEN                    | packages/engine/**                                                      | REQ-TEST-001, REQ-TEST-002, REQ-TEST-003       | -
REQ-ENG-008       | §8                                           | OPEN                    | packages/engine/**                                                      | REQ-TEST-001, REQ-TEST-002, REQ-TEST-003       | -
REQ-SDK-001       | §9                                           | OPEN                    | packages/sdk/**                                                         | REQ-TEST-005, REQ-TEST-010                     | -
REQ-SDK-002       | §9                                           | OPEN                    | packages/sdk/**                                                         | REQ-TEST-005, REQ-TEST-010                     | -
REQ-SDK-003       | §9                                           | OPEN                    | packages/sdk/**                                                         | REQ-TEST-005, REQ-TEST-010                     | -
REQ-SDK-004       | §9                                           | OPEN                    | packages/sdk/**                                                         | REQ-TEST-005, REQ-TEST-010                     | -
REQ-SDK-005       | §9                                           | OPEN                    | packages/sdk/**                                                         | REQ-TEST-005, REQ-TEST-010                     | Conformed crypto surface: secp256k1 point/scalar ops, canonical scalar derivation, salted Merkle w/ selective opening, commit-reveal entropy, Fisher-Yates w/ rejection sampling, chosen settlement primitive, consensus-timestamped ECDH reveal token. Gate value-bearing modules on SCOPE-003.
REQ-SDK-006       | §9                                           | OPEN                    | packages/sdk/**                                                         | REQ-TEST-005, REQ-TEST-010                     | -
REQ-SDK-007       | §9                                           | OPEN                    | packages/sdk/**                                                         | REQ-TEST-005, REQ-TEST-010                     | -
REQ-MOD-000       | §10                                          | OPEN                    | packages/modules/**                                                     | REQ-TEST-001, REQ-TEST-002                     | -
REQ-SQL-001       | §11                                          | BLOCKED                 | packages/verifiable-accounting/**                                       | REQ-TEST-005, REQ-TEST-010                     | RESOLVED/withdrawn: on-chain-SQL premise disproven. No source contains SQL; BSVM is an EVM L2 (STARK+covenant), not a SQL engine; Runar is a Script compiler. Superseded by REQ-JRNL-002..005. SOURCE-CONFORMANCE.md §3.
REQ-JRNL-002      | §11                                          | OPEN                    | packages/verifiable-accounting/**                                       | REQ-TEST-005, REQ-TEST-010                     | appendJournalEntry: append-only state-chain tx, effect committed via Merkle-field-tree root in locking-script data-push; no OP_RETURN; returns {tx,proof}. No SQL parsed. (replaces REQ-SQL-002)
REQ-JRNL-003      | §11                                          | OPEN                    | packages/verifiable-accounting/**                                       | REQ-TEST-005, REQ-TEST-010                     | Append-only: no mutate/delete of prior entry; corrections reference prior outpoint. UTXO advantage over mutable-row Cassandra. (replaces REQ-SQL-003)
REQ-JRNL-004      | §11                                          | OPEN                    | packages/verifiable-accounting/**                                       | REQ-TEST-005, REQ-TEST-010                     | Selective disclosure: single entry/field via Merkle path using salted domain-separated leaves (REQ-COMMIT-004). (replaces REQ-SQL-004)
REQ-JRNL-005      | §11                                          | OPEN                    | packages/verifiable-accounting/**                                       | REQ-TEST-005, REQ-TEST-010                     | Deterministic entry->tx mapping (REQ-DET-001); SHOULD emit via Runar for byte-identical TS/Go/Rust (REQ-TEST-003). (replaces REQ-SQL-005)
REQ-CLIENT-001    | §12                                          | OPEN                    | packages/ui-core/**, apps/web/**, apps/desktop/**                       | REQ-TEST-010                                   | -
REQ-CLIENT-002    | §12                                          | OPEN                    | packages/ui-core/**, apps/web/**, apps/desktop/**                       | REQ-TEST-010                                   | -
REQ-CLIENT-003    | §12                                          | OPEN                    | packages/ui-core/**, apps/web/**, apps/desktop/**                       | REQ-TEST-010                                   | -
REQ-CLIENT-004    | §12                                          | OPEN                    | packages/ui-core/**, apps/web/**, apps/desktop/**                       | REQ-TEST-010                                   | -
REQ-CLIENT-005    | §12                                          | OPEN                    | packages/ui-core/**, apps/web/**, apps/desktop/**                       | REQ-TEST-010                                   | -
REQ-NET-001       | §12                                          | OPEN                    | services/relay/**, services/indexer/**, packages/sdk/src/net/**         | REQ-TEST-009, REQ-TEST-010                     | -
REQ-NET-002       | §12                                          | OPEN                    | services/relay/**, services/indexer/**, packages/sdk/src/net/**         | REQ-TEST-009, REQ-TEST-010                     | -
REQ-NET-003       | §12                                          | OPEN                    | services/relay/**, services/indexer/**, packages/sdk/src/net/**         | REQ-TEST-009, REQ-TEST-010                     | -
REQ-NET-004       | §12                                          | OPEN                    | services/relay/**, services/indexer/**, packages/sdk/src/net/**         | REQ-TEST-009, REQ-TEST-010                     | -
REQ-NET-005       | §12                                          | OPEN                    | services/relay/**, services/indexer/**, packages/sdk/src/net/**         | REQ-TEST-009, REQ-TEST-010                     | -
REQ-NODE-001      | §13                                          | DEPENDS-ON-SOURCE       | apps/node-binding/**                                                    | REQ-TEST-010                                   | Dependency is an ABSENT CODEBASE (D6 binding + bsv-poker repo), not an unread document. Locate or decide to author; record in BUILD-STATUS.md.
REQ-NODE-002      | §13                                          | DEPENDS-ON-SOURCE       | apps/node-binding/**                                                    | REQ-TEST-010                                   | D6 binding codebase absent (see NODE-001).
REQ-NODE-003      | §13                                          | DEPENDS-ON-SOURCE       | apps/node-binding/**                                                    | REQ-TEST-010                                   | D6 binding codebase absent (see NODE-001).
REQ-TEST-001      | §14                                          | OPEN                    | test/**, packages/*/test/**                                             | (self) REQ-BUILD-005 pnpm ci                   | -
REQ-TEST-002      | §14                                          | OPEN                    | test/**, packages/*/test/**                                             | (self) REQ-BUILD-005 pnpm ci                   | -
REQ-TEST-003      | §14                                          | OPEN                    | test/**, packages/*/test/**                                             | (self) REQ-BUILD-005 pnpm ci                   | -
REQ-TEST-004      | §14                                          | OPEN                    | test/**, packages/*/test/**                                             | (self) REQ-BUILD-005 pnpm ci                   | -
REQ-TEST-005      | §14                                          | OPEN                    | test/**, packages/*/test/**                                             | (self) REQ-BUILD-005 pnpm ci                   | -
REQ-TEST-006      | §14                                          | OPEN                    | test/**, packages/*/test/**                                             | (self) REQ-BUILD-005 pnpm ci                   | -
REQ-TEST-007      | §14                                          | OPEN                    | test/**, packages/*/test/**                                             | (self) REQ-BUILD-005 pnpm ci                   | -
REQ-TEST-008      | §14                                          | OPEN                    | test/**, packages/*/test/**                                             | (self) REQ-BUILD-005 pnpm ci                   | -
REQ-TEST-009      | §14                                          | OPEN                    | test/**, packages/*/test/**                                             | (self) REQ-BUILD-005 pnpm ci                   | -
REQ-TEST-010      | §14                                          | OPEN                    | test/**, packages/*/test/**                                             | (self) REQ-BUILD-005 pnpm ci                   | -
REQ-TEST-011      | §14                                          | OPEN                    | test/**, packages/*/test/**                                             | (self) REQ-BUILD-005 pnpm ci                   | -
REQ-TEST-012      | §14                                          | OPEN                    | tests/acceptance/**, apps/client-web/**                                 | REQ-TEST-012                                   | Human-in-the-loop acceptance (REQ-BAN-009(f)): user-acceptance of user-facing play requires a real person selecting via the menu-driven client; labelled gate distinct from CI; bot runs MUST NOT be reported as user-acceptance.
REQ-TEST-013      | §14                                          | OPEN                    | packages/test-actors/**, tooling/**                                     | REQ-TEST-013                                   | Automated actors test-only (REQ-BAN-009(d)): bots/AI live only in test-actors, explicitly instantiated by tests, unbuildable into production; CI build-separation check proves production cannot import them.
REQ-BUILD-001     | §15                                          | OPEN                    | tooling/**, vm/**, .github/workflows/**, package.json                   | REQ-BUILD-005 pnpm ci                          | -
REQ-BUILD-002     | §15                                          | OPEN                    | tooling/**, vm/**, .github/workflows/**, package.json                   | REQ-BUILD-005 pnpm ci                          | -
REQ-BUILD-003     | §15                                          | OPEN                    | tooling/**, vm/**, .github/workflows/**, package.json                   | REQ-BUILD-005 pnpm ci                          | -
REQ-BUILD-004     | §15                                          | OPEN                    | tooling/**, vm/**, .github/workflows/**, package.json                   | REQ-BUILD-005 pnpm ci                          | -
REQ-BUILD-005     | §15                                          | OPEN                    | tooling/**, vm/**, .github/workflows/**, package.json                   | REQ-BUILD-005 pnpm ci                          | -
REQ-BUILD-006     | §15                                          | OPEN                    | tooling/**, vm/**, .github/workflows/**, package.json                   | REQ-BUILD-005 pnpm ci                          | -
REQ-BUILD-007     | §15                                          | OPEN                    | tooling/**, vm/**, .github/workflows/**, package.json                   | REQ-BUILD-005 pnpm ci                          | -
REQ-TRACE-001     | §16                                          | OPEN                    | traceability.txt, BUILD-STATUS.md, tooling/trace/**                     | REQ-BUILD-005 pnpm trace                       | -
REQ-TRACE-002     | §16                                          | OPEN                    | traceability.txt, BUILD-STATUS.md, tooling/trace/**                     | REQ-BUILD-005 pnpm trace                       | -
REQ-TRACE-003     | §16                                          | OPEN                    | traceability.txt, BUILD-STATUS.md, tooling/trace/**                     | REQ-BUILD-005 pnpm trace                       | -
REQ-TRACE-004     | §16                                          | OPEN                    | traceability.txt, BUILD-STATUS.md, tooling/trace/**                     | REQ-BUILD-005 pnpm trace                       | -
REQ-PKG-001       | §17                                          | OPEN                    | (monorepo root layout)                                                  | REQ-BUILD-005 pnpm ci                          | -
REQ-PKG-002       | §17                                          | OPEN                    | (monorepo root layout)                                                  | REQ-BUILD-005 pnpm ci                          | -
REQ-PKG-003       | §17                                          | OPEN                    | (monorepo root layout)                                                  | REQ-BUILD-005 pnpm ci                          | -
REQ-SEC-001       | §20 SECURITY-HARDENING.md §2                 | OPEN                    | packages/sdk/src/net/**, packages/engine/src/replay/**                 | REQ-TEST-002, REQ-TEST-012                     | ESTATES audit #1 (CRITICAL): every message a signed envelope binding networkId/module/contract/version/kind/seatId/actorPubKey/priorTranscriptHash/sequenceNo/body; action accepted only if signed by the legally to-move seat key; host/leave actor-bound; relay ordering is NOT authentication. Sharpens REQ-BAN-008/REQ-ENG-001/REQ-NET-001. Automatic reject.
REQ-SEC-002       | §20 SECURITY-HARDENING.md §2                 | OPEN                    | packages/engine/**, packages/crypto/**                                  | REQ-TEST-002, REQ-TEST-004, REQ-TEST-007       | ESTATES audit #2 (CRITICAL): no raw client randomness on the action surface; outcome derived from commit->reveal transcript with rejection sampling (no modulo bias); randomness action carries commitments+reveals+timeout evidence+priorBeacon+turnIndex, never a bare value. Sharpens REQ-COMMIT-004/005/REQ-FAIR-001/REQ-ENG-001. Automatic reject.
REQ-SEC-003       | §20 SECURITY-HARDENING.md §2                 | OPEN                    | packages/engine/src/replay/**, packages/protocol-types/**              | REQ-TEST-002, REQ-TEST-005                     | ESTATES audit #3 (CRITICAL): audit/replay MUST verify commitment-per-eligible-seat, commit-precedes-reveal, secret-hashes-to-commitment, no duplicate/non-seat reveal, timeout-default evidence; outcome derived ONLY from canonical valid reveal set. Recomputing dice-from-reveals is insufficient; commitments are a required transcript field. Sharpens REQ-ENG-003/004. Automatic reject.
REQ-SEC-004       | §20 SECURITY-HARDENING.md §2                 | OPEN                    | packages/sdk/src/net/**                                                 | REQ-TEST-009                                   | ESTATES audit #4 (HIGH): transport total-order via server sequence numbers + gap buffering (or full /history rebuild); never append a newly-discovered earlier item behind already-seen later items; two honest peers converge byte-identically under frame loss. Sharpens REQ-DET-007/REQ-ARCH-001. Automatic reject.
REQ-SEC-005       | §20 SECURITY-HARDENING.md §2                 | OPEN                    | services/relay/**                                                       | REQ-TEST-009                                   | ESTATES audit #5 (HIGH, TRUE GAP): relay is hostile even on localhost — enforce max body size, per-channel log cap, capability tokens, signed messages, rate limit, channel expiry, bounded/paginated history; no CORS *-all-headers in shipped config; memory bounded by construction. Fixes REQ-NET-003. Automatic reject.
REQ-SEC-006       | §20 SECURITY-HARDENING.md §2                 | OPEN                    | packages/protocol-types/**                                             | REQ-TEST-002, REQ-TEST-005                     | ESTATES audit #6 (HIGH): canonical decode MUST reject (not mask with &0xff) every out-of-range/non-canonical on-chain object byte — kind in set, ids in board/registry bounds, level in range, boolean in {0,1}, genesis txid strict 64-hex, vout safe uint32, fixed layout; malformed -> typed rejection, never impossible state. Sharpens REQ-DET-001/REQ-ENG-004. Automatic reject.
REQ-SEC-007       | §20 SECURITY-HARDENING.md §2                 | OPEN                    | packages/sdk/**, packages/script-templates-ts/**                       | REQ-TEST-001, REQ-TEST-002                     | ESTATES audit #7 (HIGH): value-bearing tx MUST use the real BSV SDK tx model end-to-end and verify prev tx/output index/locking script/satoshi values/script satisfaction/fee/change; a bespoke Tx omitting prevout amount+script is a co-signing MODEL only, fenced out of real-value use; keep the explicit mainnet broadcast guard. Sharpens REQ-SDK-002/REQ-TPL-*. Automatic reject before real value.
